dzien,oddzial,pacjenci_przyjeci,zgony,wypisy,badania_przeprowadzone,%_zapełnienia_łóżek,pacjenci_na_lekarza
1,Izba Przyjęć,0,0,0,0,0,0
1,Chirurgia,1,0,0,1,25.0,0.33
1,Izba Przyjęć,0,0,0,0,0,0
1,Interna,1,0,0,1,16.67,0.33
1,Izba Przyjęć,0,0,0,0,0,0
1,Ortopedia,1,0,0,0,33.33,0.2
1,Izba Przyjęć,0,0,0,0,0,0
1,Neurologia,3,0,0,1,7.14,0.6
1,Izba Przyjęć,0,0,0,0,0,0
1,Kardiologia,0,0,0,0,0.0,0.0
1,Izba Przyjęć,0,0,0,0,0,0
1,Pediatria,2,0,0,0,16.67,0.67
1,Izba Przyjęć,0,0,0,0,0,0
1,Onkologia,2,0,0,0,28.57,0.4
