dzien,oddzial,pacjenci_przyjeci,zgony,wypisy,badania_przeprowadzone,%_zapełnienia_łóżek,pacjenci_na_lekarza
1,Izba Przyjęć,0,0,0,0,0,0
1,Chirurgia,1,0,0,0,6.67,0.2
1,Izba Przyjęć,0,0,0,0,0,0
1,Interna,1,0,0,1,0.0,0.33
1,Izba Przyjęć,0,0,0,0,0,0
1,Ortopedia,1,0,0,1,0.0,0.33
1,Izba Przyjęć,0,0,0,0,0,0
1,Neurologia,2,0,0,1,0.0,1.0
1,Izba Przyjęć,0,0,0,0,0,0
1,Kardiologia,2,0,0,2,25.0,2.0
1,Izba Przyjęć,0,0,0,0,0,0
1,Pediatria,0,0,0,0,0.0,0.0
1,Izba Przyjęć,0,0,0,0,0,0
1,Onkologia,3,0,1,2,12.5,1.5
2,Izba Przyjęć,0,0,0,0,0,0
2,Chirurgia,1,0,0,1,6.67,0.4
2,Izba Przyjęć,0,0,0,0,0,0
2,Interna,3,0,1,1,25.0,1.0
2,Izba Przyjęć,0,0,0,0,0,0
2,Ortopedia,2,0,4,2,10.0,0.67
2,Izba Przyjęć,0,0,0,0,0,0
2,Neurologia,2,0,1,2,6.67,1.5
2,Izba Przyjęć,0,0,0,0,0,0
2,Kardiologia,4,0,0,2,50.0,6.0
2,Izba Przyjęć,0,0,0,0,0,0
2,Pediatria,2,0,0,0,18.18,1.0
2,Izba Przyjęć,0,0,0,0,0,0
2,Onkologia,4,0,7,4,25.0,3.5
3,Izba Przyjęć,0,0,0,0,0,0
3,Chirurgia,3,0,6,1,13.33,1.0
3,Izba Przyjęć,0,0,0,0,0,0
3,Interna,1,0,0,0,25.0,1.33
3,Izba Przyjęć,0,0,0,0,0,0
3,Ortopedia,0,0,0,0,10.0,1.33
3,Izba Przyjęć,0,0,0,0,0,0
3,Neurologia,4,0,1,2,33.33,3.5
3,Izba Przyjęć,0,0,0,0,0,0
3,Kardiologia,0,0,0,0,0.0,6.0
3,Izba Przyjęć,0,0,0,0,0,0
3,Pediatria,5,0,0,4,45.45,3.0
3,Izba Przyjęć,0,0,0,0,0,0
3,Onkologia,2,0,0,1,25.0,5.0
4,Izba Przyjęć,0,0,0,0,0,0
4,Chirurgia,0,0,0,0,20.0,1.4
4,Izba Przyjęć,0,0,0,0,0,0
4,Interna,0,0,0,0,37.5,1.33
4,Izba Przyjęć,0,0,0,0,0,0
4,Ortopedia,1,0,0,0,40.0,2.0
4,Izba Przyjęć,0,0,0,0,0,0
4,Neurologia,2,0,0,1,13.33,4.5
4,Izba Przyjęć,0,0,0,0,0,0
4,Kardiologia,1,0,0,0,25.0,11.0
4,Izba Przyjęć,0,0,0,0,0,0
4,Pediatria,1,0,0,0,9.09,4.0
4,Izba Przyjęć,0,0,0,0,0,0
4,Onkologia,3,0,1,2,37.5,6.5
5,Izba Przyjęć,0,0,0,0,0,0
5,Chirurgia,1,0,0,0,26.67,1.6
5,Izba Przyjęć,0,0,0,0,0,0
5,Interna,0,0,0,0,50.0,1.33
5,Izba Przyjęć,0,0,0,0,0,0
5,Ortopedia,0,0,0,0,30.0,2.0
5,Izba Przyjęć,0,0,0,0,0,0
5,Neurologia,3,0,0,0,20.0,6.0
5,Izba Przyjęć,0,0,0,0,0,0
5,Kardiologia,5,2,0,2,62.5,15.0
5,Izba Przyjęć,0,0,0,0,0,0
5,Pediatria,5,0,0,2,54.55,5.33
5,Izba Przyjęć,0,0,0,0,0,0
5,Onkologia,1,0,1,0,0.0,7.0
6,Izba Przyjęć,0,0,0,0,0,0
6,Chirurgia,2,0,0,1,46.67,2.2
6,Izba Przyjęć,0,0,0,0,0,0
6,Interna,2,0,0,0,62.5,3.0
6,Izba Przyjęć,0,0,0,0,0,0
6,Ortopedia,1,1,0,1,40.0,2.67
6,Izba Przyjęć,0,0,0,0,0,0
6,Neurologia,1,0,0,0,33.33,6.5
6,Izba Przyjęć,0,0,0,0,0,0
6,Kardiologia,2,0,0,1,62.5,16.0
6,Izba Przyjęć,0,0,0,0,0,0
6,Pediatria,1,0,0,1,27.27,5.33
6,Izba Przyjęć,0,0,0,0,0,0
6,Onkologia,2,0,0,0,37.5,8.5
