dzien,oddzial,pacjenci_przyjeci,zgony,wypisy,badania_przeprowadzone,%_zapełnienia_łóżek,pacjenci_na_lekarza
1,Izba Przyjęć,0,0,0,0,0,0
1,Chirurgia,0,0,0,0,0.0,0.0
1,Izba Przyjęć,0,0,0,0,0,0
1,Interna,2,0,0,1,16.67,0.67
1,Izba Przyjęć,0,0,0,0,0,0
1,Ortopedia,1,0,0,0,0.0,0.25
1,Izba Przyjęć,0,0,0,0,0,0
1,Neurologia,2,0,2,1,0.0,0.5
1,Izba Przyjęć,0,0,0,0,0,0
1,Kardiologia,0,0,0,0,0.0,0.0
1,Izba Przyjęć,0,0,0,0,0,0
1,Pediatria,0,0,0,0,0.0,0.0
1,Izba Przyjęć,0,0,0,0,0,0
1,Onkologia,1,0,0,0,0.0,0.5
2,Izba Przyjęć,0,0,0,0,0,0
2,Chirurgia,0,0,0,0,0.0,0.0
2,Izba Przyjęć,0,0,0,0,0,0
2,Interna,1,0,0,1,16.67,0.67
2,Izba Przyjęć,0,0,0,0,0,0
2,Ortopedia,2,0,0,1,33.33,0.75
2,Izba Przyjęć,0,0,0,0,0,0
2,Neurologia,1,0,0,1,9.09,0.5
2,Izba Przyjęć,0,0,0,0,0,0
2,Kardiologia,0,0,0,0,0.0,0.0
2,Izba Przyjęć,0,0,0,0,0,0
2,Pediatria,1,0,0,1,6.67,0.25
2,Izba Przyjęć,0,0,0,0,0,0
2,Onkologia,2,0,0,2,25.0,1.0
3,Izba Przyjęć,0,0,0,0,0,0
3,Chirurgia,2,0,2,2,33.33,1.0
3,Izba Przyjęć,0,0,0,0,0,0
3,Interna,0,0,0,0,0.0,0.67
3,Izba Przyjęć,0,0,0,0,0,0
3,Ortopedia,1,0,1,1,33.33,1.25
3,Izba Przyjęć,0,0,0,0,0,0
3,Neurologia,0,0,0,0,0.0,0.5
3,Izba Przyjęć,0,0,0,0,0,0
3,Kardiologia,0,0,0,0,0.0,0.0
3,Izba Przyjęć,0,0,0,0,0,0
3,Pediatria,1,0,0,1,6.67,0.5
3,Izba Przyjęć,0,0,0,0,0,0
3,Onkologia,0,0,0,0,0.0,1.0
