dzien,oddzial,pacjenci_przyjeci,zgony,wypisy,badania_przeprowadzone,%_zapełnienia_łóżek,pacjenci_na_lekarza
1,Izba Przyjęć,0,0,0,0,0,0
1,Chirurgia,5,4,2,5,100.0,5.0
1,Izba Przyjęć,0,0,0,0,0,0
1,Interna,6,3,1,6,62.5,1.2
1,Izba Przyjęć,0,0,0,0,0,0
1,Ortopedia,6,2,0,4,71.43,3.5
1,Izba Przyjęć,0,0,0,0,0,0
1,Neurologia,5,1,1,5,100.0,5.0
1,Izba Przyjęć,0,0,0,0,0,0
1,Kardiologia,1,1,0,1,42.86,1.0
1,Izba Przyjęć,0,0,0,0,0,0
1,Pediatria,4,1,1,2,26.67,4.0
1,Izba Przyjęć,0,0,0,0,0,0
1,Onkologia,4,0,2,3,33.33,4.0
2,Izba Przyjęć,0,0,0,0,0,0
2,Chirurgia,0,0,0,0,100.0,6.0
2,Izba Przyjęć,0,0,0,0,0,0
2,Interna,4,1,0,1,100.0,2.2
2,Izba Przyjęć,0,0,0,0,0,0
2,Ortopedia,4,0,1,4,85.71,6.0
2,Izba Przyjęć,0,0,0,0,0,0
2,Neurologia,1,0,1,1,100.0,11.0
2,Izba Przyjęć,0,0,0,0,0,0
2,Kardiologia,5,0,1,4,85.71,6.0
2,Izba Przyjęć,0,0,0,0,0,0
2,Pediatria,5,1,2,4,33.33,9.0
2,Izba Przyjęć,0,0,0,0,0,0
2,Onkologia,3,0,1,3,55.56,7.0
3,Izba Przyjęć,0,0,0,0,0,0
3,Chirurgia,0,0,0,0,100.0,11.0
3,Izba Przyjęć,0,0,0,0,0,0
3,Interna,0,0,0,0,100.0,4.8
3,Izba Przyjęć,0,0,0,0,0,0
3,Ortopedia,1,0,0,1,100.0,12.0
3,Izba Przyjęć,0,0,0,0,0,0
3,Neurologia,0,0,0,0,100.0,30.0
3,Izba Przyjęć,0,0,0,0,0,0
3,Kardiologia,2,0,1,2,100.0,14.0
3,Izba Przyjęć,0,0,0,0,0,0
3,Pediatria,4,0,2,4,60.0,16.0
3,Izba Przyjęć,0,0,0,0,0,0
3,Onkologia,5,0,3,5,100.0,19.0
