dzien,nowi pacjenci - stan ciezki,nowi pacjenci - stan sredni,nowi pacjenci - stan lekki,zgony,wypisani,sredni czas w izbie (min),sredni czas ocz. na łozko (min),średni czas w szpitalu (min),leki,badania
1,0,8,2,0,0,0.17,0,0,0,EKG: 2; CT: 1; Kolonoskopia: 1
1,0,8,2,0,0,0.17,0,0,0,EKG: 2; CT: 1; Kolonoskopia: 1
1,0,8,2,0,0,0.17,0,0,0,EKG: 2; CT: 1; Kolonoskopia: 1
1,0,8,2,0,0,0.17,0,0,0,EKG: 2; CT: 1; Kolonoskopia: 1
1,0,8,2,0,0,0.17,0,0,0,EKG: 2; CT: 1; Kolonoskopia: 1
1,0,8,2,0,0,0.17,0,0,0,EKG: 2; CT: 1; Kolonoskopia: 1
1,0,8,2,0,0,0.17,0,0,0,EKG: 2; CT: 1; Kolonoskopia: 1; MR: 1
1,0,8,2,0,0,0.17,0,0,0,EKG: 2; CT: 1; Kolonoskopia: 1; MR: 1
1,0,8,2,0,0,0.17,0,0,0,EKG: 2; CT: 1; Kolonoskopia: 1; MR: 1
1,0,8,2,0,0,0.17,0,0,0,EKG: 2; CT: 1; Kolonoskopia: 1; MR: 1
