dzien,oddzial,pacjenci_przyjeci,zgony,wypisy,badania_przeprowadzone,%_zapełnienia_łóżek,pacjenci_na_lekarza
1,Chirurgia,0,0,0,0,0.0,0.0
1,Interna,2,0,0,0,7.69,3.0
1,Ortopedia,0,0,0,0,0.0,0.0
1,Neurologia,0,0,0,0,0.0,0.0
1,Kardiologia,0,0,0,0,66.67,0.5
1,Pediatria,1,0,0,0,9.09,0.4
1,Onkologia,0,0,0,0,16.67,2.0
2,Chirurgia,0,0,0,0,20.0,0.25
2,Interna,0,0,0,0,30.77,6.0
2,Ortopedia,0,0,0,0,50.0,1.33
2,Neurologia,0,0,0,0,6.67,1.5
2,Kardiologia,0,0,0,0,33.33,0.75
2,Pediatria,0,0,0,0,27.27,1.4
2,Onkologia,0,0,0,0,8.33,3.0
3,Chirurgia,0,0,0,0,40.0,0.75
3,Interna,0,0,0,0,23.08,7.0
3,Ortopedia,0,0,0,0,50.0,1.33
3,Neurologia,0,0,0,0,13.33,2.5
3,Kardiologia,0,0,0,0,66.67,1.0
3,Pediatria,0,0,0,0,36.36,2.4
3,Onkologia,0,0,0,0,41.67,7.0
4,Chirurgia,0,0,0,0,40.0,1.75
4,Interna,0,0,0,0,23.08,8.0
4,Ortopedia,0,0,0,0,100.0,2.33
4,Neurologia,0,0,0,0,60.0,6.0
4,Kardiologia,0,0,0,0,66.67,1.25
4,Pediatria,0,0,0,0,45.45,2.8
4,Onkologia,0,0,0,0,25.0,9.0
