dzien,oddzial,pacjenci_przyjeci,zgony,wypisy,badania_przeprowadzone,%_zapełnienia_łóżek,pacjenci_na_lekarza
1,Chirurgia,0,0,0,0,33.33,1.0
1,Interna,0,0,0,0,0.0,0.0
1,Ortopedia,1,0,0,0,22.22,0.75
1,Neurologia,1,0,0,0,20.0,1.0
1,Kardiologia,0,0,0,0,20.0,0.33
1,Pediatria,3,0,0,0,0.0,3.0
1,Onkologia,0,0,0,0,14.29,0.25
2,Chirurgia,0,0,0,0,33.33,3.0
2,Interna,0,0,0,0,20.0,0.5
2,Ortopedia,0,0,0,0,11.11,1.0
2,Neurologia,0,0,0,0,20.0,3.0
2,Kardiologia,0,0,0,0,0.0,0.33
2,Pediatria,0,0,0,0,16.67,7.0
2,Onkologia,0,0,0,0,14.29,0.75
3,Chirurgia,0,0,0,0,100.0,8.0
3,Interna,0,0,0,0,60.0,2.0
3,Ortopedia,0,0,0,0,55.56,2.5
3,Neurologia,0,0,0,0,80.0,4.5
3,Kardiologia,0,0,0,0,60.0,2.0
3,Pediatria,0,0,0,0,16.67,7.0
3,Onkologia,0,0,0,0,28.57,1.0
4,Chirurgia,0,0,0,0,100.0,9.0
4,Interna,0,0,0,0,100.0,3.5
4,Ortopedia,0,0,0,0,55.56,3.25
4,Neurologia,0,0,0,0,80.0,5.0
4,Kardiologia,0,0,0,0,80.0,3.0
4,Pediatria,0,0,0,0,25.0,10.0
4,Onkologia,0,0,0,0,42.86,2.25
5,Chirurgia,0,0,0,0,100.0,12.0
5,Interna,0,0,0,0,100.0,6.0
5,Ortopedia,0,0,0,0,77.78,3.5
5,Neurologia,0,0,0,0,100.0,5.5
5,Kardiologia,0,0,0,0,100.0,3.67
5,Pediatria,0,0,0,0,50.0,12.0
5,Onkologia,0,0,0,0,85.71,3.75
6,Chirurgia,0,0,0,0,33.33,12.0
6,Interna,0,0,0,0,100.0,7.0
6,Ortopedia,0,0,0,0,66.67,4.75
6,Neurologia,0,0,0,0,100.0,7.5
6,Kardiologia,0,0,0,0,100.0,4.33
6,Pediatria,0,0,0,0,50.0,16.0
6,Onkologia,0,0,0,0,100.0,3.75
