dzien,oddzial,pacjenci_przyjeci,zgony,wypisy,badania_przeprowadzone,%_zapełnienia_łóżek,pacjenci_na_lekarza
1,Chirurgia,0,0,0,0,0.0,0.25
1,Interna,0,0,0,0,0.0,0.0
1,Ortopedia,0,0,0,0,0.0,0.0
1,Neurologia,0,0,0,0,27.27,1.33
1,Kardiologia,0,0,0,0,6.67,0.67
1,Pediatria,0,0,0,0,0.0,0.2
1,Onkologia,0,0,0,0,7.14,0.5
2,Chirurgia,0,0,0,0,8.33,1.0
2,Interna,0,0,0,0,10.0,1.0
2,Ortopedia,0,0,0,0,12.5,0.75
2,Neurologia,0,0,0,0,18.18,1.67
2,Kardiologia,0,0,0,0,0.0,1.0
2,Pediatria,1,0,0,1,25.0,1.0
2,Onkologia,0,0,0,0,7.14,0.75
3,Chirurgia,0,0,0,0,41.67,1.75
3,Interna,0,0,0,0,10.0,1.33
3,Ortopedia,0,0,0,0,0.0,1.25
3,Neurologia,0,0,0,0,9.09,2.33
3,Kardiologia,0,0,0,0,0.0,1.33
3,Pediatria,0,0,0,0,75.0,1.8
3,Onkologia,0,0,0,0,7.14,1.25
4,Chirurgia,0,0,0,0,41.67,2.25
4,Interna,0,0,0,0,50.0,3.0
4,Ortopedia,0,0,0,0,25.0,2.5
4,Neurologia,0,0,0,0,27.27,3.67
4,Kardiologia,0,0,0,0,20.0,2.0
4,Pediatria,0,0,0,0,75.0,2.4
4,Onkologia,0,0,0,0,21.43,1.75
